pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-150,z,67,3,16,z,1,0.7579423999413848,None,16,3,67,3,,,,,162.2477742000483,,162.23287610011175,162.2477742000483,163.24795160000212,163.24795160000212,163.24795160000212,163.24795160000212,163.24795160000212,164.24749569990672,164.24749569990672,165.01513219997287,z,1,0.7579423999413848,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-50,x,68,0,17,x,1,0.3018621001392603,None,17,0,68,0,,,,,165.03107109991834,,165.01569349993952,165.03107109991834,166.01374220009893,166.01374220009893,166.01374220009893,166.01374220009893,166.03117080009542,167.03056579991244,167.03056579991244,167.34770160005428,x,1,0.3018621001392603,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
150,v,69,1,17,v,1,0.2976437001489103,None,17,1,69,1,,,,,167.36400120006874,,167.34821090009063,167.36400120006874,168.34769749990664,168.34769749990664,168.34769749990664,168.34769749990664,168.36438670009375,169.34774150000885,169.34774150000885,169.64807999995537,v,1,0.2976437001489103,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
50,c,70,2,17,c,1,0.4790877001360059,None,17,2,70,2,,,,,169.66400419990532,,169.64861849998124,169.66400419990532,170.64737119991332,170.64737119991332,170.64737119991332,170.64737119991332,170.66439440008253,171.647365400102,171.647365400102,172.1309656999074,c,1,0.4790877001360059,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-150,z,71,3,17,z,1,0.3663154998794198,None,17,3,71,3,,,,,172.14717020001262,,172.13160259998403,172.14717020001262,173.13056070008315,173.13056070008315,173.13056070008315,173.13056070008315,173.14729529991746,174.1305215000175,174.1305215000175,174.49830160010606,z,1,0.3663154998794198,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-50,x,72,0,18,x,1,0.28111650003120303,None,18,0,72,0,,,,,174.51400359999388,,174.4991065999493,174.51400359999388,175.5139582999982,175.5139582999982,175.5139582999982,175.5139582999982,175.5139582999982,176.5137058000546,176.5137058000546,176.79801789997146,x,1,0.28111650003120303,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
150,v,73,1,18,v,1,0.36924370005726814,None,18,1,73,1,,,,,176.81339529994875,,176.79862600006163,176.81339529994875,177.81350399996154,177.81350399996154,177.81350399996154,177.81350399996154,177.81350399996154,178.8131124000065,178.8131124000065,179.19758999999613,v,1,0.36924370005726814,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
50,c,74,2,18,c,1,0.29215279989875853,None,18,2,74,2,,,,,179.21369359991513,,179.19817349989899,179.21369359991513,180.19700450007804,180.19700450007804,180.19700450007804,180.19700450007804,180.2138620999176,181.19693080009893,181.19693080009893,181.49777589994483,c,1,0.29215279989875853,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-150,z,75,3,18,z,1,0.3564126999117434,None,18,3,75,3,,,,,181.51281360001303,,181.4985193000175,181.51281360001303,182.49635230004787,182.49635230004787,182.49635230004787,182.49635230004787,182.51326379994862,183.51319519989192,183.51319519989192,183.87974000000395,z,1,0.3564126999117434,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-50,x,76,0,19,x,1,0.4104931000620127,None,19,0,76,0,,,,,183.89619220001623,,183.8801247999072,183.89619220001623,184.8791030999273,184.8791030999273,184.8791030999273,184.8791030999273,184.89603659999557,185.87920979992487,185.87920979992487,186.29636100004427,x,1,0.4104931000620127,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
150,v,77,1,19,v,1,0.2815321001689881,None,19,1,77,1,,,,,186.312398100039,,186.29663129989058,186.312398100039,187.29589419998229,187.29589419998229,187.29589419998229,187.29589419998229,187.31260799989104,188.29559769993648,188.29559769993648,188.57938949996606,v,1,0.2815321001689881,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
50,c,78,2,19,c,1,0.29076060000807047,None,19,2,78,2,,,,,188.595683200052,,188.57984209991992,188.595683200052,189.57883249991573,189.57883249991573,189.57883249991573,189.57883249991573,189.59566970006563,190.57875579991378,190.57875579991378,190.87927299994044,c,1,0.29076060000807047,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-150,z,79,3,19,z,1,0.33346130000427365,None,19,3,79,3,,,,,190.8955536999274,,190.87949709990062,190.8955536999274,191.87876440002583,191.87876440002583,191.87876440002583,191.87876440002583,191.895564599894,192.87859510001726,192.87859510001726,193.22923559998162,z,1,0.33346130000427365,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-50,x,80,0,20,x,1,0.2904805999714881,None,20,0,80,0,,,,,193.24533779988997,,193.2295478999149,193.24533779988997,194.22864410001785,194.22864410001785,194.22864410001785,194.22864410001785,194.24538079998456,195.22849670005962,195.22849670005962,195.52905540005304,x,1,0.2904805999714881,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
150,v,81,1,20,v,1,0.31573339994065464,None,20,1,81,1,,,,,195.54526880010962,,195.52941729989834,195.54526880010962,196.52861470007338,196.52861470007338,196.52861470007338,196.52861470007338,196.54549490008503,197.52862429991364,197.52862429991364,197.84577749995515,v,1,0.31573339994065464,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
50,c,82,2,20,c,1,0.2857775001320988,None,20,2,82,2,,,,,197.8619170000311,,197.84605080005713,197.8619170000311,198.84524909988977,198.84524909988977,198.84524909988977,198.84524909988977,198.86182989994995,199.84497420000844,199.84497420000844,200.14562499988824,c,1,0.2857775001320988,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-150,z,83,3,20,z,1,0.4206313998438418,None,20,3,83,3,,,,,200.16166079998948,,200.1458636999596,200.16166079998948,201.1449112999253,201.1449112999253,201.1449112999253,201.1449112999253,201.16180130001158,202.14525109995157,202.14525109995157,202.5788467999082,z,1,0.4206313998438418,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-50,x,84,0,21,x,1,0.30088960006833076,None,21,0,84,0,,,,,202.59495480009355,,202.57912019989453,202.59495480009355,203.57808559993282,203.57808559993282,203.57808559993282,203.57808559993282,203.59526160010137,204.57806949992664,204.57806949992664,204.89531720010564,x,1,0.30088960006833076,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
150,v,85,1,21,v,1,0.3181239999830723,None,21,1,85,1,,,,,204.911596900085,,204.8955896999687,204.911596900085,205.89491529995576,205.89491529995576,205.89491529995576,205.89491529995576,205.9115196999628,206.89496210007928,206.89496210007928,207.22972110006958,v,1,0.3181239999830723,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
50,c,86,2,21,c,1,0.27060310007072985,None,21,2,86,2,,,,,207.2455410999246,,207.2303381001111,207.2455410999246,208.2450506000314,208.2450506000314,208.2450506000314,208.2450506000314,208.2450506000314,209.24544299999252,209.24544299999252,209.52955819992349,c,1,0.27060310007072985,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
-150,z,87,3,21,z,1,0.3323828000575304,None,21,3,87,3,,,,,209.5452531001065,,209.53013650001958,209.5452531001065,210.54494989989325,210.54494989989325,210.54494989989325,210.54494989989325,210.54494989989325,211.5452352000866,211.5452352000866,211.8799743000418,z,1,0.3323828000575304,None,,,,,3,001,2025-10-05_14h52.44.174,sequence_learning,,2025.1.1,59.88985052904977,2025-10-05 14h52.54.585130 +0530,
