Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,test_textbox.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
marble,43,13,2,1.0166666666666666,0.49805320001905784,,,,,,,,,,,,2,13,43,3,,,,,31.45580369999516,,31.443049800000153,31.45580369999516,31.45580369999516,31.956895300012548,1.0166666666666666,0.49805320001905784,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Pastry,44,14,2,1.0166666666666666,0.16541119999601506,,,,,,,,,,,,2,14,44,9,,,,,31.972353699995438,,31.959221700002672,31.972353699995438,31.972353699995438,32.13984220000566,1.0166666666666666,0.16541119999601506,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
board,45,0,3,1.0166666666666666,0.18052009999519214,,,,,,,,,,,,3,0,45,4,,,,,32.15567100001499,,32.143115999992006,32.15567100001499,32.15567100001499,32.33979719999479,1.0166666666666666,0.18052009999519214,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
book,46,1,3,1.0166666666666666,0.1659669000073336,,,,,,,,,,,,3,1,46,0,,,,,32.35570780001581,,32.341776599991135,32.35570780001581,32.35570780001581,32.523408900015056,1.0166666666666666,0.1659669000073336,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
T-shirt,47,2,3,1.0166666666666666,0.16411829998833127,,,,,,,,,,,,3,2,47,7,,,,,32.53899309999542,,32.5266426000162,32.53899309999542,32.53899309999542,32.70659459999297,1.0166666666666666,0.16411829998833127,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Case,48,3,3,1.0166666666666666,0.16496130000450648,,,,,,,,,,,,3,3,48,10,,,,,32.72247740000603,,32.70931529998779,32.72247740000603,32.72247740000603,32.88971859999583,1.0166666666666666,0.16496130000450648,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
mouse,49,4,3,1.0166666666666666,0.16616849999991246,,,,,,,,,,,,3,4,49,8,,,,,32.905714499996975,,32.891717299993616,32.905714499996975,32.905714499996975,33.072987899999134,1.0166666666666666,0.16616849999991246,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Cruise,50,5,3,1.0166666666666666,0.16629279998596758,,,,,,,,,,,,3,5,50,11,,,,,33.08902559999842,,33.07537949999096,33.08902559999842,33.08902559999842,33.257032299996354,1.0166666666666666,0.16629279998596758,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
marble,51,6,3,1.0166666666666666,0.16475129997706972,,,,,,,,,,,,3,6,51,3,,,,,33.27235899999505,,33.2601607000106,33.27235899999505,33.27235899999505,33.4400644999987,1.0166666666666666,0.16475129997706972,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Chart,52,7,3,1.0166666666666666,0.14840620002360083,,,,,,,,,,,,3,7,52,6,,,,,33.45594320000964,,33.443004000000656,33.45594320000964,33.45594320000964,33.60676210001111,1.0166666666666666,0.14840620002360083,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
